kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr,label
5195172,K01671.01,Kepler-1763 b,CONFIRMED,CANDIDATE,0.979,1.480283464,60.5,2.486,0.97,0.0257,1822.0,21.3,1
3219995,K02314.01,Kepler-1187 b,CONFIRMED,CANDIDATE,1.0,18.87058705,588.0,3.4701,2.67,0.1401,701.0,28.5,1
1849702,K02538.01,Kepler-1854 b,CONFIRMED,CANDIDATE,1.0,39.8312536,388.8,2.442,1.46,0.2119,420.0,15.8,1
9872283,K01815.01,Kepler-960 b,CONFIRMED,CANDIDATE,1.0,3.126861192,794.6,1.1926,5.12,0.0414,1391.0,94.6,1
11773022,K00620.03,Kepler-51 c,CONFIRMED,CANDIDATE,0.97,85.3162004,1902.6,2.7441,6.34,0.3864,423.0,32.6,1
9412462,K07171.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,10.186578749,340671.0,10.6304,67.45,0.0875,793.0,5867.8,0
5384079,K02011.02,Kepler-348 c,CONFIRMED,CANDIDATE,0.947,17.2653659,67.9,5.02,1.16,0.1412,888.0,13.9,1
6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,1.0,10.854095934,1034.4,3.7768,2.99,0.0919,765.0,252.8,1
10616679,K00429.01,Kepler-550 b,CONFIRMED,CANDIDATE,1.0,8.600099313,2791.6,4.0077,4.17,0.0747,760.0,209.2,1
7124026,K02275.01,,FALSE POSITIVE,FALSE POSITIVE,0.013,15.7455586,161.1,13.877,1.41,0.1242,743.0,37.6,0
6947062,K05338.01,,FALSE POSITIVE,FALSE POSITIVE,,309.19347,1445.0,23.51,3.07,0.8687,236.0,6.5,0
4864734,K03944.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.845610523,374.1,2.337,77.83,0.033,2502.0,33.3,0
5172274,K06533.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,6.12650913,2434.0,15.43,9.08,0.0753,1370.0,3.1,0
5529552,K07732.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.759768478,57.4,2.824,0.64,0.0158,1737.0,12.9,0
7695445,K06906.01,,FALSE POSITIVE,FALSE POSITIVE,,1.74336627,451.0,10.405,140.49,0.0308,2029.0,20.8,0
7889486,K03300.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,24.2382519,465.5,2.703,2.19,0.1642,597.0,11.3,0
3848665,K05014.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,359.04147,3658.0,14.04,27.1,0.873,181.0,11.2,0
11572193,K03109.01,Kepler-1428 b,CONFIRMED,CANDIDATE,0.989,10.6761592,151.0,4.594,1.79,0.1059,1049.0,14.1,1
10586208,K01308.01,Kepler-811 b,CONFIRMED,CANDIDATE,1.0,23.58444746,429.2,5.5545,3.0,0.1583,730.0,42.8,1
12167361,K00980.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,47.93094546,2144.4,2.6897,68.02,0.3108,905.0,221.1,0
3542542,K07658.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.47148164,122.7,4.679,0.85,0.0415,970.0,9.5,0
11704044,K07472.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,6.882686062,373662.0,5.47323,60.49,0.0708,921.0,2842.2,0
4150703,K06389.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,8.6532378,126.0,2.974,0.96,0.0816,793.0,9.0,0
10616415,K01999.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.120646438,322.5,1.7664,89.35,0.0251,2783.0,45.7,0
12121470,K02142.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.877350712,185.6,1.7478,1.46,0.0308,1650.0,23.1,0
5024268,K06494.01,,FALSE POSITIVE,FALSE POSITIVE,,2.15045295,169.1,4.453,24.27,0.0469,4340.0,25.8,0
10407086,K04568.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.933747395,30.9,4.798,1.24,0.0195,2596.0,26.7,0
6301035,K01124.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,11.99097576,2124.3,5.7401,37.47,0.1006,880.0,102.8,0
5622250,K06608.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,16.294213708,174006.0,6.01687,68.05,0.1322,929.0,7486.2,0
6786348,K01749.01,Kepler-947 b,CONFIRMED,CANDIDATE,1.0,26.964501,601.7,3.792,2.2,0.1773,573.0,20.1,1
7698701,K04322.02,,FALSE POSITIVE,FALSE POSITIVE,,321.55087,397.0,5.863,1.68,0.8994,250.0,8.2,0
5473535,K03894.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.673662758,316.4,2.3135,23.42,0.0285,1729.0,33.4,0
6205405,K05251.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.7229369,65.2,10.57,0.46,0.0371,591.0,18.6,0
3102000,K03373.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,57.0599992,66168.0,7.463,22.31,0.2856,455.0,751.5,0
6368175,K03503.02,Kepler-1703 c,CONFIRMED,CANDIDATE,,31.8245304,79.0,4.17,0.8,0.1911,589.0,7.7,1
9899583,K07248.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.33258375,60.9,4.081,0.84,0.0243,1727.0,16.4,0
8975368,K03227.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.42649862,29.2,2.014,0.75,0.0347,1638.0,15.2,0
