kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
6587002,K00612.03,Kepler-196 d,CONFIRMED,CANDIDATE,0.995,122.0804953,799.9,4.054,2.92,0.4484,297.0,23.3
11718389,K04444.01,Kepler-1956 b,CONFIRMED,CANDIDATE,1.0,5.94373492,301.0,1.847,1.14,0.0563,674.0,13.2
10329196,K04446.01,Kepler-1605 b,CONFIRMED,CANDIDATE,0.895,85.7567919,159.1,5.695,2.99,0.3912,528.0,16.9
10604592,K04447.01,Kepler-1957 b,CONFIRMED,CANDIDATE,1.0,2.18660188,122.3,1.585,0.98,0.0299,1099.0,14.2
9285568,K04241.01,Kepler-1575 b,CONFIRMED,CANDIDATE,0.992,2.55315031,185.3,1.849,1.25,0.0366,1312.0,15.4
7604328,K02458.02,Kepler-1245 c,CONFIRMED,CANDIDATE,1.0,2.936587946,279.6,1.8952,1.77,0.0372,1190.0,20.1
7103919,K04310.01,Kepler-1950 b,CONFIRMED,CANDIDATE,0.986,10.7769944,185.6,2.616,1.15,0.0871,752.0,11.3
10722485,K04312.01,Kepler-1588 b,CONFIRMED,CANDIDATE,0.99,7.84931877,68.2,3.747,0.81,0.0726,925.0,12.6
6937529,K04382.01,Kepler-1597 b,CONFIRMED,CANDIDATE,1.0,2.94648935,57.0,3.155,0.89,0.0427,1497.0,12.7
5177859,K04246.01,Kepler-1576 b,CONFIRMED,CANDIDATE,0.364,6.98472143,90.7,2.724,1.19,0.0726,1059.0,11.7
9883606,K04383.01,Kepler-1598 b,CONFIRMED,CANDIDATE,0.999,4.34195312,73.3,2.598,0.94,0.0527,1236.0,10.6
5860968,K04384.01,Kepler-1599 b,CONFIRMED,CANDIDATE,0.997,122.358116,352.8,10.768,2.15,0.4823,407.0,12.2
3645438,K04385.01,Kepler-1600 c,CONFIRMED,CANDIDATE,1.0,7.298142,370.5,3.024,1.6,0.0689,786.0,13.6
8480582,K04386.01,Kepler-1702 b,CONFIRMED,CANDIDATE,0.967,18.5010898,421.1,3.179,1.62,0.1275,555.0,14.7
11125613,K02485.02,Kepler-1254 c,CONFIRMED,CANDIDATE,0.998,3.60082855,296.3,1.938,1.36,0.0422,927.0,17.9
10525049,K04252.01,Kepler-1948 b,CONFIRMED,CANDIDATE,0.999,15.5714121,173.5,2.294,0.72,0.1022,399.0,13.0
9896018,K02579.02,Kepler-1859 c,CONFIRMED,CANDIDATE,0.98,3.59645081,149.6,2.661,1.66,0.0473,1327.0,16.2
5095082,K04320.01,Kepler-1951 b,CONFIRMED,CANDIDATE,0.554,20.6579443,98.2,8.798,1.27,0.1435,728.0,14.1
11560897,K02365.02,Kepler-430 c,CONFIRMED,CANDIDATE,0.947,110.978266,150.2,11.312,1.86,0.4808,463.0,14.0
6752002,K04184.01,Kepler-1945 b,CONFIRMED,CANDIDATE,0.999,6.08003714,184.0,1.308,1.07,0.0597,808.0,17.7
7257966,K04185.01,Kepler-1946 b,CONFIRMED,CANDIDATE,0.992,3.035206175,696.9,0.6182,3.59,0.0394,1143.0,19.1
10407482,K04255.01,Kepler-1577 b,CONFIRMED,CANDIDATE,0.974,6.30558387,193.1,2.619,2.52,0.0657,1125.0,9.5
5371777,K04327.01,Kepler-1589 b,CONFIRMED,CANDIDATE,0.992,0.991659646,77.3,2.215,1.19,0.0205,2102.0,13.5
6879171,K04188.01,Kepler-1947 b,CONFIRMED,CANDIDATE,0.992,6.96352699,68.1,3.192,1.4,0.0711,1298.0,17.4
9897364,K04189.01,Kepler-1562 b,CONFIRMED,CANDIDATE,0.997,64.2729088,1213.9,12.136,5.38,0.3308,554.0,27.4
12505503,K04190.01,Kepler-1563 b,CONFIRMED,CANDIDATE,0.931,3.4327371,63.2,4.001,0.75,0.0442,1134.0,15.3
10526887,K04261.01,Kepler-1578 b,CONFIRMED,CANDIDATE,0.741,1.450889836,135.7,1.753,1.21,0.0252,1700.0,15.7
11125613,K02485.03,Kepler-1254 d,CONFIRMED,CANDIDATE,0.994,5.72716067,310.9,2.23,1.4,0.0575,794.0,16.0
8733898,K02842.03,Kepler-446 c,CONFIRMED,CANDIDATE,0.947,3.036208739,1820.5,0.9324,1.4,0.0283,520.0,26.0
9828127,K04192.01,Kepler-1564 b,CONFIRMED,CANDIDATE,1.0,18.0541469,283.1,4.587,1.51,0.1327,635.0,19.3
5644412,K04194.01,Kepler-1565 b,CONFIRMED,CANDIDATE,0.996,1.538185321,277.2,1.683,1.29,0.0241,1234.0,15.2
10730070,K04335.01,Kepler-1590 b,CONFIRMED,CANDIDATE,0.994,7.61758198,85.4,3.545,1.0,0.0772,1020.0,13.4
2831055,K04400.01,Kepler-1601 b,CONFIRMED,CANDIDATE,0.995,2.20923119,59.8,2.392,0.84,0.0336,1507.0,14.3
7703882,K04403.01,Kepler-1954 b,CONFIRMED,CANDIDATE,1.0,5.88350251,217.7,2.556,1.27,0.0625,949.0,11.9
5340878,K04199.01,Kepler-1566 b,CONFIRMED,CANDIDATE,0.146,0.539915033,97.0,1.1466,0.82,0.0121,1871.0,17.6
7450747,K04267.01,Kepler-1949 b,CONFIRMED,CANDIDATE,0.951,2.20829637,87.9,2.841,1.36,0.0352,1709.0,12.0
7826620,K04268.01,Kepler-1579 b,CONFIRMED,CANDIDATE,0.996,0.849906734,124.3,1.141,0.59,0.014,1139.0,12.0
8890924,K04269.01,Kepler-1993 b,CONFIRMED,CANDIDATE,0.998,26.6565737,163.4,4.954,4.15,0.1943,903.0,18.8
8573193,K04337.01,Kepler-1591 b,CONFIRMED,CANDIDATE,0.998,8.18504859,97.6,4.673,0.93,0.0794,892.0,12.5
7673841,K02585.02,Kepler-392 c,CONFIRMED,CANDIDATE,1.0,10.42317343,71.2,2.341,1.07,0.0905,901.0,11.2
5084171,K04202.01,Kepler-1567 b,CONFIRMED,CANDIDATE,0.949,153.979362,792.5,9.028,2.53,0.552,330.0,16.1
11968463,K02433.03,Kepler-385 d,CONFIRMED,CANDIDATE,0.917,56.4148314,480.1,8.075,2.9,0.3024,535.0,16.4
10593535,K04204.01,Kepler-1568 b,CONFIRMED,CANDIDATE,0.974,20.9254083,109.0,6.783,1.26,0.1499,729.0,15.5
5959719,K02498.02,Kepler-390 c,CONFIRMED,CANDIDATE,0.905,13.0600399,106.8,2.851,0.8,0.1006,630.0,12.5
9701962,K04617.01,Kepler-1617 b,CONFIRMED,CANDIDATE,0.896,27.4784659,83.2,7.5,1.52,0.181,736.0,12.3
