kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
8381693,K04017.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,21.5702917,148.7,40.4,29.53,0.1481,888.0,41.0
4929299,K04018.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.868723418,197.1,1.4617,1.87,0.0169,1998.0,23.8
5565497,K01789.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.412526202,150.3,5.49,36.77,0.0296,3001.0,70.6
5730389,K01956.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.759573341,382.0,6.999,6.42,0.0372,1198.0,64.4
5802478,K01834.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.79188234,417.0,2.15,1.95,0.0467,1201.0,6.6
5942093,K01995.01,,FALSE POSITIVE,FALSE POSITIVE,1.0,14.38724729,1914.1,1.9078,29.24,0.108,725.0,43.5
5992270,K01855.01,,FALSE POSITIVE,FALSE POSITIVE,0.025,58.4302648,1849.5,7.18,3.45,0.248,300.0,34.1
7117126,K07814.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.566717263,18.5,2.6079,0.43,0.013,2096.0,11.1
4761060,K02249.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,13.37935853,353.5,8.809,6.65,0.1226,1395.0,36.2
5479802,K02251.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,13.26255423,916.4,4.65,3.55,0.1105,766.0,31.4
5607631,K02254.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,20.5696575,401.5,4.263,28.96,0.1437,650.0,22.2
4951249,K02258.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,4.52342256,219.0,2.531,1.7,0.0556,1195.0,15.9
9156585,K02054.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,22.32423657,1299.3,3.669,4.56,0.1518,611.0,29.9
3121340,K03945.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.723947772,242.7,2.125,52.16,0.0147,3192.0,17.7
5952366,K03947.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.905679492,2299.0,2.1164,35.74,0.0184,1882.0,59.3
5952366,K03947.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,22.735911,2311.0,42.435,5.07,0.1574,643.0,69.4
6045250,K03948.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.909310626,12126.6,3.4411,48.79,0.0192,2130.0,454.0
5598595,K03949.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.648774274,231.0,2.643,1.08,0.013,1659.0,26.1
9763754,K00589.01,,FALSE POSITIVE,FALSE POSITIVE,,17.47702,138.3,54.52,0.93,0.1247,676.0,2.9
8435247,K01131.01,,FALSE POSITIVE,FALSE POSITIVE,0.974,0.696125302,14966.0,2.0054,28.44,0.0133,1645.0,177.2
8332986,K01137.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,302.38867822,41320.0,3.1229,40.73,0.8341,238.0,294.8
6364327,K01744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,5.24372504,234.4,17.136,20.41,0.0543,1017.0,51.6
6762829,K01740.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,18.795269797,28241.1,9.9816,30.77,0.1403,899.0,3596.6
7369865,K01918.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,42.2625935,692.2,4.465,12.62,0.2813,855.0,40.7
7593110,K01748.01,,FALSE POSITIVE,FALSE POSITIVE,0.004,3.549386251,50664.0,2.4342,24.15,0.0441,1142.0,108.2
7117147,K07815.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.566812588,17.1,3.596,0.71,0.0134,3089.0,17.5
6634133,K02262.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,9.94221873,486.5,2.453,19.64,0.0852,754.0,12.6
7021534,K02267.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,9.06557317,243.4,1.6208,1.46,0.0849,880.0,24.9
9277210,K02268.01,,FALSE POSITIVE,FALSE POSITIVE,,4.9432827,27.1,40.01,1.21,0.0646,1739.0,12.9
9728465,K02270.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,7.35390869,92.9,2.061,2.29,0.084,1483.0,11.1
7124026,K02275.01,,FALSE POSITIVE,FALSE POSITIVE,0.013,15.7455586,161.1,13.877,1.41,0.1242,743.0,37.6
7200485,K07825.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.566796615,47.8,1.999,0.59,0.0131,2077.0,8.5
4544572,K03950.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.189092892,1871.5,5.1128,33.45,0.0335,1446.0,150.7
5738634,K03951.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.40435335,70.6,4.07,3.05,0.0404,2454.0,27.1
10152836,K03952.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,220.9290121,2456.5,7.335,5.24,0.7114,299.0,70.4
